occupation,gender,age
administrator,F,40.638888888888886
administrator,M,37.16279069767442
artist,F,30.307692307692307
artist,M,32.333333333333336
doctor,M,43.57142857142857
educator,F,39.11538461538461
educator,M,43.10144927536232
engineer,F,29.5
engineer,M,36.6
entertainment,F,31.0
entertainment,M,29.0
executive,F,44.0
executive,M,38.172413793103445
healthcare,F,39.81818181818182
healthcare,M,45.4
homemaker,F,34.166666666666664
homemaker,M,23.0
lawyer,F,39.5
lawyer,M,36.2
librarian,F,40.0
librarian,M,40.0
marketing,F,37.2
marketing,M,37.875
none,F,36.5
none,M,18.6
other,F,35.47222222222222
other,M,34.028985507246375
programmer,F,32.166666666666664
programmer,M,33.21666666666667
retired,F,70.0
retired,M,62.53846153846154
salesman,F,27.0
salesman,M,38.55555555555556
scientist,F,28.333333333333332
scientist,M,36.32142857142857
student,F,20.75
student,M,22.669117647058822
technician,F,38.0
technician,M,32.96153846153846
writer,F,37.63157894736842
writer,M,35.34615384615385
